pdf_name	pdf_class	mh	peak_mass	peak_value	delta_peak_minus_mh	best_mean_name	best_mean_value	delta_best_mean_minus_mh	mean_names	mean_values
hggpdfsmrel_vh_in_2022postEE_cat0_13TeV_rv	RooAddPdf	125.379997	125.959399	0.306902271895	0.579402	mean_g0_vh_in_2022postEE_cat0_13TeV_rv	126.011491	0.631494	mean_g0_vh_in_2022postEE_cat0_13TeV_rv;mean_g1_vh_in_2022postEE_cat0_13TeV_rv;mean_g2_vh_in_2022postEE_cat0_13TeV_rv;mean_g3_vh_in_2022postEE_cat0_13TeV_rv;mean_g4_vh_in_2022postEE_cat0_13TeV_rv	126.011491;124.984130;126.913526;122.289978;125.376418
hggpdfsmrel_vh_in_2022postEE_cat0_13TeV_wv	RooAddPdf	125.379997	125.945385	0.211443632678	0.565388	mean_g0_vh_in_2022postEE_cat0_13TeV_wv	125.988789	0.608792	mean_g0_vh_in_2022postEE_cat0_13TeV_wv;mean_g1_vh_in_2022postEE_cat0_13TeV_wv;mean_g2_vh_in_2022postEE_cat0_13TeV_wv;mean_g3_vh_in_2022postEE_cat0_13TeV_wv	125.988789;125.847001;125.858815;125.213035
hggpdfsmrel_vh_in_2022postEE_cat1_13TeV_rv	RooAddPdf	125.379997	125.820838	0.247817068452	0.440841	mean_g1_vh_in_2022postEE_cat1_13TeV_rv	125.859616	0.479619	mean_g0_vh_in_2022postEE_cat1_13TeV_rv;mean_g1_vh_in_2022postEE_cat1_13TeV_rv;mean_g2_vh_in_2022postEE_cat1_13TeV_rv;mean_g3_vh_in_2022postEE_cat1_13TeV_rv;mean_g4_vh_in_2022postEE_cat1_13TeV_rv	125.236021;125.859616;126.573122;127.666173;123.796689
hggpdfsmrel_vh_in_2022postEE_cat1_13TeV_wv	RooAddPdf	125.379997	125.791809	0.161817799775	0.411812	mean_g0_vh_in_2022postEE_cat1_13TeV_wv	125.904253	0.524256	mean_g0_vh_in_2022postEE_cat1_13TeV_wv;mean_g1_vh_in_2022postEE_cat1_13TeV_wv	125.904253;125.528556
hggpdfsmrel_vh_in_2022postEE_cat2_13TeV_rv	RooAddPdf	125.379997	125.352103	0.164956657369	-0.027895	mean_g1_vh_in_2022postEE_cat2_13TeV_rv	125.245024	-0.134973	mean_g0_vh_in_2022postEE_cat2_13TeV_rv;mean_g1_vh_in_2022postEE_cat2_13TeV_rv;mean_g2_vh_in_2022postEE_cat2_13TeV_rv;mean_g3_vh_in_2022postEE_cat2_13TeV_rv	125.649948;125.245024;123.391963;125.168937
hggpdfsmrel_vh_in_2022postEE_cat2_13TeV_wv	RooAddPdf	125.379997	125.368119	0.121656790294	-0.011879	mean_g2_vh_in_2022postEE_cat2_13TeV_wv	125.116485	-0.263513	mean_g0_vh_in_2022postEE_cat2_13TeV_wv;mean_g1_vh_in_2022postEE_cat2_13TeV_wv;mean_g2_vh_in_2022postEE_cat2_13TeV_wv	124.396820;126.809989;125.116485
hggpdfsmrel_vh_in_2022preEE_cat0_13TeV_rv	RooAddPdf	125.379997	125.716734	0.338300527611	0.336737	mean_g0_vh_in_2022preEE_cat0_13TeV_rv	125.753880	0.373883	mean_g0_vh_in_2022preEE_cat0_13TeV_rv;mean_g1_vh_in_2022preEE_cat0_13TeV_rv	125.753880;124.769339
hggpdfsmrel_vh_in_2022preEE_cat0_13TeV_wv	RooAddPdf	125.379997	125.645240	0.204628948704	0.265243	mean_g0_vh_in_2022preEE_cat0_13TeV_wv	125.828303	0.448306	mean_g0_vh_in_2022preEE_cat0_13TeV_wv;mean_g1_vh_in_2022preEE_cat0_13TeV_wv;mean_g2_vh_in_2022preEE_cat0_13TeV_wv;mean_g3_vh_in_2022preEE_cat0_13TeV_wv	125.828303;124.294822;126.359068;123.734830
hggpdfsmrel_vh_in_2022preEE_cat1_13TeV_rv	RooAddPdf	125.379997	125.410161	0.236792199089	0.030163	mean_g0_vh_in_2022preEE_cat1_13TeV_rv	125.486909	0.106911	mean_g0_vh_in_2022preEE_cat1_13TeV_rv;mean_g1_vh_in_2022preEE_cat1_13TeV_rv	125.486909;124.067256
hggpdfsmrel_vh_in_2022preEE_cat1_13TeV_wv	RooAddPdf	125.379997	125.213542	0.146727472241	-0.166456	mean_g0_vh_in_2022preEE_cat1_13TeV_wv	125.213066	-0.166932	mean_g0_vh_in_2022preEE_cat1_13TeV_wv	125.213066
